aoriginal_id,content,final_sentiment,baseline_aspect_category,tweet_type,clean_tweet,quadruplet,corrected_quadruplet,postprocess_quad
1.648753333681918e+18,"@JUALAN_BASE @fleurlovincs Nder hpnya kamu pake brp lama? Kayaknya 4jt msh terlalu tinggi, krn di olx aku liat banyak yg jual dibawah 4jt Mungkin kalo km jual dibawah angka itu akan ada yg beli, apalagi kamu lg BU Biasanya kalo BU jual lebih murah dr harga jual biasa",neutral,delivery; produk;,SUBJECTIVE,"nder hpnya kamu pake brp lama? kayaknya jt msh terlalu tinggi, krn di olx aku liat banyak yg jual dibawah jt mungkin kalo km jual dibawah angka itu akan ada yg beli, apalagi kamu lg bu biasanya kalo bu jual lebih murah dr harga jual biasa","(hp, harga terlalu tinggi, negative, produk);","(kayanya, msh terlalu tinggi, negative, price);(olx, banyak yg jual dibawah, neutral, price);(BU, jual lebih murah, positive, price)","(kayaknya,msh terlalu tinggi,negative,price);(olx,banyak yg jual dibawah,neutral,price);(bu,jual lebih murah,positive,price)"
1.648667529609646e+18,@teh_manis__ @ezash coba cari di olx mba kalo baru pertama kali mau beli motor bekas,neutral,produk;,SUBJECTIVE,coba cari di olx mba kalo baru pertama kali mau beli motor bekas,"(motor bekas, pertama kali, positive, produk);","(olx, coba cari, neutral, produk);(motor bekas, mau beli, neutral, produk)","(olx,coba cari,neutral,produk);(motor bekas,mau beli,neutral,produk)"
1.647741896079589e+18,@tanyakanrl Kalo mau beli second jangan di toko oren atau lainya. Coba di market place FB atau olx  Biar lebih aman dan bisa cek barang bener bener,positive,delivery; produk;,SUBJECTIVE,kalo mau beli second jangan di toko oren atau lainya. coba di market place fb atau olx biar lebih aman dan bisa cek barang bener bener,"(beli second, biar lebih aman, negative, produk); (olx, aman, positive, produk);","(beli second, jangan di toko oren, negative, produk);(market place FB, lebih aman, positive, website&apps);(olx, lebih aman, positive, website&apps);(market place FB, bisa cek barang, positive, website&apps);(olx, bisa cek barang, positive, website&apps)","(beli second,jangan di toko oren,negative,produk);(market place fb,lebih aman,positive,website&apps);(olx,lebih aman,positive,website&apps);(market place fb,bisa cek barang,positive,website&apps);(olx,bisa cek barang,positive,website&apps)"
1.6476642875640545e+18,"kalo jam 1 malem gabisa tidur pengen makan nasi goreng mah enak tinggal beli, kalau jam 1 malem gabisa tidur pengen mercedes benz, coman bisa buka olx doang ini🥲🥲",neutral,customerservice; produk;,SUBJECTIVE,"kalo jam malem gabisa tidur pengen makan nasi goreng mah enak tinggal beli, kalau jam malem gabisa tidur pengen mercedes benz, coman bisa buka olx doang ini","(nasi goreng, enak, positive, produk);","(jam malem, gabisa tidur, negative, produk);(nasi goreng, enak, positive, produk);(mercedes benz, coman bisa buka olx, neutral, produk)","(jam malem,gabisa tidur,negative,produk);(nasi goreng,enak,positive,produk);(mercedes benz,coman bisa buka olx,neutral,produk)"
1.6476384975730852e+18,"@tirta_cipeng Di luar dunia fashion, saya sering banget nemu di OLX  Ngaku ngaku budget nya minim, pas cek getcontact dia ternyata dia reseller dan makelar juga  Emang dasarnya mau jualin lagi aja tapi ga jujur",neutral,produk;,SUBJECTIVE,"di luar dunia fashion, saya sering banget nemu di olx ngaku ngaku budget nya minim, pas cek getcontact dia ternyata dia reseller dan makelar juga emang dasarnya mau jualin lagi aja tapi ga jujur","(olx, reseller, negative, customerservice);","(OLX, ngaku budgetnya minim, negative, price);(reseller, ga jujur, negative, produk);(makelar,ga jujur,negative,produk)","(olx,ngaku budget minim,negative,price);(reseller,ga jujur,negative,produk);(makelar,ga jujur,negative,produk)"
1.6472507820586762e+18,"@pupunghardianto @sosmedkeras OLX Sama Aja 🤣 Barang Yg Gua Jual Gress Full Set Harga Normal 4,8 Malah Ditawar 2,5 Gila Kali",neutral,produk;,SUBJECTIVE,olx sama aja barang yg gua jual gress full set harga normal malah ditawar gila kali,"(olx, ditawar gila kali, negative, produk);","(Harga Normal, Malah Ditawar Gila Kali, negative, price)","(harga normal,malah ditawar gila kali,negative,price)"
1.6472221933598515e+18,@sosmedkeras Mendingan di olx masih ada manusiawinya sedikit. Jual di fb kebanyakan astaghfirullahnya,neutral,produk;,SUBJECTIVE,mendingan di olx masih ada manusiawinya sedikit. jual di fb kebanyakan astaghfirullahnya,"(olx, ada manusiawinya, positive, produk); (fb, kebanyakan astagfirullah, negative, produk);","(olx, ada manusiawinya, positive, website&apps);(fb, kebanyakan astagfirullah, negative, website&apps)","(olx,ada manusiawinya,positive,website&apps);(fb,kebanyakan astaghfirullahnya,negative,website&apps)"
1.646930212507226e+18,"@HyukB127 @Arti_SebuahRasa @tanyarlfes Aku kmrn stay di kostan, krn habisin 2 minggu disana biar puas.   Aku kmrn sih nyari2 kostannya lewat olx dan mamikos gitu.  Klo cafe dsana banyak, biasanya aku cek lewat Google Map aja sih, dan utk tmpt wisata aku cari lewat web ttg rekomendasi wisata di Batu.",neutral,price; produk;,SUBJECTIVE,"aku kmrn stay di kostan, krn habisin minggu disana biar puas. aku kmrn sih nyari2 kostannya lewat olx dan mamikos gitu. klo cafe dsana banyak, biasanya aku cek lewat google map aja sih, dan utk tmpt wisata aku cari lewat web ttg rekomendasi wisata di batu.","(kostan, kafe dsana banyak, positive, produk); (google maps, rekomendasi wisata, positive, website&apps);","(minggu, biar puas, positive, produk);(cafe, dsana banyak, positive, produk)","(minggu,biar puas,positive,produk);(cafe,dsana banyak,positive,produk)"
1.6465527058953748e+18,nyebelin bgt dah seller kandang kucingnya. kapok deh gue pake olx. bukan gue target pasarnya. HFFFFttttt,negative,produk;,SUBJECTIVE,nyebelin bgt dah seller kandang kucingnya. kapok deh gue pake olx. bukan gue target pasarnya. hffffttttt,"(seller kandang kucing, nyebelin, negative, produk); (olx, kapok deh, negative, website&apps); (_, target pasar, negative, produk);","(seller kandang kucingnya, nyebelin bgt, negative, produk); (olx, kapok deh, negative, website&apps); (olx, bukan gw target pasarnya, negative, website&apps);","(seller kandang kucingnya,nyebelin bgt,negative,produk);(olx,kapok deh,negative,website&apps);(olx,bukan bgt target pasarnya,negative,website&apps)"
1.6459049715301335e+18,kalo jual hp d olx harga murah cpt banget lakunya kaya gw bingung semua org mau cod besok😊,neutral,delivery; website&apps; produk;,SUBJECTIVE,kalo jual hp d olx harga murah cpt banget lakunya kaya gw bingung semua org mau cod besok,"(jual hp, harga murah, positive, produk); (cpt banget lakunya, cod, positive,produk);","(harga murah, cpt banget lakunya, positive, price)","(harga murah,cpt banget lakunya,positive,price)"
