content,final_sentiment,baseline_aspect_category,tweet_type,clean_tweet,quadruplet,triplet_label,len_clean_tweet
"CERITA aduhh gue gelisah bgt anjir. jadi gua tuh bilang ke mak gue buat beli baju lebaran di shopee trus ama mak gw gk dibolehin krn nnti takut estimasi pengirimannya ga sebelum lebaran, tapi.... w tetep kekeh pgn beli di shopee dn akhirnya mak gw bilang 'yaudah terserah'",negative,customerservice; produk;,SUBJECTIVE,"CERITA aduhh gue gelisah bgt anjir. jadi gua tuh bilang ke mak gue buat beli baju lebaran di shopee trus ama mak gw gk dibolehin krn nnti takut estimasi pengirimannya ga sebelum lebaran, tapi.... w tetep kekeh pgn beli di shopee dn akhirnya mak gw bilang 'yaudah terserah'","(baju lebaran, gelisah bgt anjir, negative, produk)","(baju lebaran, gelisah bgt anjir, negative)",48
"Drama jepit rambut belum kelar, gue mau po di shopee bingung mandarinnya apaan😭😭",neutral,delivery; customerservice; price; produk;,SUBJECTIVE,"Drama jepit rambut belum kelar, gue mau po di shopee bingung mandarinnya apaan","(drama jepit rambut, bingung mandarinnya apaan, negative, produk)","(drama jepit rambut, bingung mandarinnya apaan, negative)",13
"Gabisa login karena dinonaktifkan, padahal lama gak belanja disitu. Lucunya lagi sempet2nya ngirim promosi ke email. Yok opo seeeh @bukalapak?",negative,produk;,SUBJECTIVE,"Gabisa login karena dinonaktifkan, padahal lama gak belanja disitu. Lucunya lagi sempet2nya ngirim promosi ke email. Yok opo seeeh ?","(_, gabisa login karena dinonaktifkan, negative, website&apps)","(_, gabisa login karena dinonaktifkan, negative)",20
Kenapaa bolu meranti tuh enak🥲🥲. Sayang bgt di jabodetabek ganemu outletnyaa. Klo di shopee mahal bett harganya. Alhasil nitip temen yg balik ke medan harga lbh murah😂😂,positive,payment; produk;,SUBJECTIVE,Kenapaa bolu meranti tuh enak. Sayang bgt di jabodetabek ganemu outletnyaa. Klo di shopee mahal bett harganya. Alhasil nitip temen yg balik ke medan harga lbh murah,"(bolu, enak, positive, produk)","(bolu, enak, positive)",27
@tanyarlfes Kalo gua mending minta mentahanya aja. Di kasi 500 gua bliin baju di shopee 60rb sisanya buat top up diamond🗿,negative,produk;,SUBJECTIVE, Kalo gua mending minta mentahanya aja. Di kasi gua bliin baju di shopee rb sisanya buat top up diamond,"(baju, minta mentahannya aja, positive, produk)(","(baju, minta mentahannya aja, positive)",19
@nerosalt kak dy maaf oot ini shopee kak dy ganti apa gimana? aku mau co buku dropboxku gabisa😭💔,neutral,produk;,SUBJECTIVE, kak dy maaf oot ini shopee kak dy ganti apa gimana? aku mau co buku dropboxku gabisa,"(buku dropbox, gabisa, negative, website&apps)","(buku dropbox, gabisa, negative)",17
Sumpah dah ini yang jualan baju kaga ada niatan restock lebih banyak apa :( w dari tadi buka tiktok + shopee sold out terus :((( capekkk banget,negative,produk;,SUBJECTIVE,Sumpah dah ini yang jualan baju kaga ada niatan restock lebih banyak apa w dari tadi buka tiktok + shopee sold out terus capekkk banget,"(shopee, sold out terus, negative, produk)","(shopee, sold out terus, negative)",25
"@Migran_TV_7777 @sheknowshoney Ya emg gitu konsepnya ga sih? Org blh beli apa aja, mulai dr tas mahal boleh, baju shopee boleh. Selama ga flexing berlebih dan pake duit haram",negative,produk;,SUBJECTIVE," Ya emg gitu konsepnya ga sih? Org blh beli apa aja, mulai dr tas mahal boleh, baju shopee boleh. Selama ga flexing berlebih dan pake duit haram","(shopee, ga flexing berlebih dan pake duit haram, negative, payment)","(shopee, ga flexing berlebih dan pake duit haram, negative)",27
@YourBaeSyg oh korang duduk sekali ke ... shopee ada murah tapi not sure compatible or short ke tidak,neutral,price; produk;,SUBJECTIVE, oh korang duduk sekali ke ... shopee ada murah tapi not sure compatible or short ke tidak,"(shopee, murah tapi not sure compatible, negative, produk)","(shopee, murah tapi not sure compatible, negative)",17
"Shopee Xpress ini knpa lelet bgt astaga nganter paket😭  dr paket sblmnya yg mau dikembaliin ke penjual, trus ajuin pengaduan smpe marah² bru dianter kerumah dn ini lagi berulah 🥹",negative,website&apps; payment; produk;,SUBJECTIVE,"Shopee Xpress ini knpa lelet bgt astaga nganter paket dr paket sblmnya yg mau dikembaliin ke penjual, trus ajuin pengaduan smpe marah bru dianter kerumah dn ini lagi berulah","(shopee xpress, lelet bgt astaga, negative, delivery)","(shopee xpress, lelet bgt astaga, negative)",29
